id,Apellido,Nombre,Distrito,Género,Sexo,Bloque,Interbloque,Voto
027,Bragagnolo,Sebastian,Mendoza,H,Hombre,PRO,Cambiemos,Afirmativo
028,Brambilla,Sofia,Corrientes,M,Mujer,PRO,Cambiemos,Negativo
029,Britez,Maria Cristina,Misiones,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
030,Brizuela Del Moral,Eduardo Segundo,Catamarca,H,Hombre,FRENTE CIVICO Y SOCIAL DE CATAMARCA,Cambiemos,Afirmativo
031,Brügge,Juan Fernando,Cordoba,H,Hombre,CORDOBA FEDERAL,Argentina Federal,Afirmativo
032,Bucca,Eduardo,Buenos Aires,H,Hombre,JUSTICIALISTA,Argentina Federal,Afirmativo
033,Buil,Sergio Omar,Buenos Aires,H,Hombre,PRO,Cambiemos,Afirmativo
034,Burgos,Maria Gabriela,Jujuy,M,Mujer,UCR,Cambiemos,Negativo
035,Cabandie,Juan,Ciudad De Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
036,Caceres,Eduardo Augusto,San Juan,H,Hombre,PRO,Cambiemos,Afirmativo
037,Camaño,Graciela,Buenos Aires,M,Mujer,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
038,Campagnoli,Marcela,Buenos Aires,M,Mujer,COALICION CIVICA,Cambiemos,Afirmativo
039,Campos,Javier,Buenos Aires,H,Hombre,COALICION CIVICA,Cambiemos,Afirmativo
040,Cano,Jose Manuel,Tucuman,H,Hombre,UCR,Cambiemos,Afirmativo
041,Cantard,Albor Angel,Santa Fe,H,Hombre,UCR,Cambiemos,Afirmativo
042,Carambia,Antonio Jose,Santa Cruz,H,Hombre,PRO,Cambiemos,Afirmativo
043,Carmona,Guillermo Ramon,Mendoza,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
044,Carol,Analuz Ailen,Tierra Del Fuego,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
045,Carrio,Elisa Maria Avelina,Ciudad De Buenos Aires,M,Mujer,COALICION CIVICA,Cambiemos,Negativo
046,Carrizo,Ana Carla,Ciudad De Buenos Aires,M,Mujer,EVOLUCION RADICAL,Evolucion Radical,Afirmativo
047,Carrizo,Maria Soledad,Cordoba,M,Mujer,UCR,Cambiemos,Negativo
048,Carro,Pablo,Cordoba,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
